timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797148722,1104215,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797149723,7988,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797149723,766296,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797150724,5812,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797150724,312787,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797151725,6779,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797151725,563365,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797152726,7377,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797152726,674521,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797153726,9234,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797153726,863645,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797154727,7910,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797154727,332615,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797155728,3212,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797155728,368704,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797156729,6420,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797156729,483718,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797157730,10148,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797157730,1161835,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797158730,5014,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797158730,325217,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797159731,10185,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797159731,933854,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797160732,6142,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797160732,610584,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797161732,7532,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797161732,403217,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797162733,8776,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797162733,444520,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797163734,9224,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797163734,1237522,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797164735,5782,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797164735,972398,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797165736,7601,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797165736,397774,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797166737,10026,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797166737,861619,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797167737,11185,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797167738,1073760,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797168738,9821,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797168738,991603,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797169739,7780,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797169739,578818,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797170740,11214,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797170740,781471,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797171740,10089,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797171740,571741,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797172741,17955,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797172741,895607,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797173742,9597,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797173742,1124779,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797174743,16978,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797174743,792770,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797175743,18626,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797175743,1043956,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797176744,7310,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797176744,923779,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797177745,13874,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797177745,588463,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797178746,14395,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797178746,881861,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797179747,6806,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797179747,987691,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797180747,17079,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797180747,1169461,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797181748,15887,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797181748,899354,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797182749,7547,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797182749,708425,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797183749,16990,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797183749,1035923,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797184750,16421,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797184750,960579,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797185751,14267,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797185751,1019897,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797186752,10955,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797186752,1069669,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
